idnumber	Canonical_Smiles	Group
Z15566152	CC(OC(=O)c1ccc(cc1)N2C(=O)c3ccccc3C2=O)C(=O)Nc4ccccc4c5ccccc5	L1
Z19662979	O=C(OC(C(=O)c1c[nH]c2ccccc12)c3ccccc3)c4ccccc4C(=O)c5ccccc5	L1
Z2214248232	CCC(C)COC(=O)c1ccc(cc1)c2cc(Cl)cc(Cl)c2Oc3ccc(NC(=O)CCC(=O)OC(C)(C)C)cc3	L1
Z220397400	Cc1ccc(C)c(c1)C(=O)c2ccccc2C(=O)OCC(=O)NC(c3ccc(F)cc3)c4nccn4C	L1
Z17155590	CC(SCC1=Nc2sc3CCCCc3c2C(=O)N1)C(=O)OCc4csc(Nc5ccc(C)cc5)n4	L1
Z1869763216	CC(C)c1nc(nc(c2ccc(F)cc2)c1\C=C\[C@H](O)C[C@@H](O)CC(=O)O)N(C)S(=O)(=O)C	L1
Z131081742	CC(=O)N(c1nc(\C=C(/CC(=O)O)\c2nc3ccccc3s2)cs1)c4c(C)cccc4C	L1
Z91683756	Cc1ccc(C)c(c1)C2=NN(CC(=O)Nc3sc4CCCc4c3C(=O)N)C(=O)c5ccccc25	L1
Z15429597	CC(OC(=O)c1ccc2C(=O)N(C(=O)c2c1)c3ccccc3C)C(=O)Nc4ccc(Cl)cc4Cl	L1
Z56768010	CCOC(=O)c1c(oc2ccc(NS(=O)(=O)c3ccc4ccccc4c3)cc12)c5ccccc5	L1
Z2968931594	OS(=O)(=O)CCCN1\C(=C/C=C/2\CCCC(=C2)\C=C\c3sc4ccccc4[n+]3CCCS(=O)(=O)O)\Sc5ccccc15	L1
Z20229590	Cc1sc2ncnc(SCC(=O)Nc3sc4CCCCc4c3C(=O)c5ccccc5)c2c1C	L1
Z316487612	CCC(C)c1ccc(cc1)C(NC(=O)CN2N=Cc3ccccc3C2=O)c4cccs4	L1
Z316485272	CC(C)Cc1ccc(cc1)C(NC(=O)CN2N=Cc3ccccc3C2=O)c4cccs4	L1
Z19720990	CC(C)N(C(=O)COC(=O)c1ccccc1Nc2ccc(SC(F)F)cc2)c3ccccc3	L1
Z2858880448	CC(C)(C)OC(=O)N1CCC[C@@H](C1)N(Cc2cc(cs2)C(=O)O)C(=O)OCC3c4ccccc4c5ccccc35	L1
Z27680965	CCOC(=O)c1c2CCCCc2sc1NC(=O)\C=C\c3cn(nc3c4cccnc4)c5ccccc5	L1
Z18336879	CCOC(=O)C1=C(COC(=O)c2cc(nc3ccccc23)c4ccc(Cl)cc4)NC(=O)NC1c5cccs5	L1
Z25228013	CC(=O)c1c(C)[nH]c(C(=O)CSc2ncc(c3ccc(Cl)cc3)n2c4ccccc4C)c1C	L1
Z15622892	COc1ccc(cc1NC(=O)C(C)OC(=O)c2cccc(c2)N3C(=O)c4ccccc4C3=O)[N+](=O)[O-]	L1
Z2968934798	CCN1\C(=C/C=C/c2[n+](CCCS(=O)(=O)O)c3cc(ccc3n2c4ccccc4)C(=O)C)\N(CC)c5cc(Oc6nc7ccccc7s6)ccc15	L1
Z56840827	CCCCCCc1cc2C=C(C(=O)Oc2cc1O)c3csc(n3)C4=Cc5ccccc5OC4=O	L1
Z316476486	Cc1c(C(=O)N2CCCCC2)c(NC(=O)CN3N=Cc4ccccc4C3=O)sc1c5ccccc5	L1
Z24334236	CC(C)N1C(=Nc2ccccc2C1=O)SCC3=Nc4sc(C)c(c5ccc(C)cc5)c4C(=O)N3	L1
Z29920890	CN(C)c1ccc(cc1)C(CNC(=O)c2ccc(Cl)c(c2)[N+](=O)[O-])c3c[nH]c4ccccc34	L1
Z2968932565	CC\C(=C/c1sc2ccccc2[n+]1CCCS(=O)(=O)O)\C=C\3/Sc4ccccc4N3CCCS(=O)(=O)O	L1
Z46149318	CC(=O)N(c1ccc(C)c(C)c1)c2nc(\C=C(\CCC(=O)O)/c3nc4ccccc4s3)cs2	L1
Z131082800	CC(=O)N(c1nc(\C=C(\CCC(=O)O)/c2nc3ccccc3s2)cs1)c4cccc(C)c4C	L1
Z15748995	Cc1ccc(cc1)c2nc(SCCCCN3C(=O)c4ccccc4C3=O)[nH]c2c5ccc(C)cc5	L1
Z17629953	CCOC(=O)c1sc(cc1NC(=O)CSc2oc(nn2)c3ccccc3C)c4ccccc4	L1
Z56987433	Cc1cc(NC(=O)\C=C\c2cccs2)n(n1)c3nc4ccccc4n3Cc5cccc(c5)[N+](=O)[O-]	L1
Z2968935172	CCN1\C(=C/C=C/c2[n+](CCCS(=O)(=O)O)c3cc(ccc3n2c4ccccc4)C(=O)C)\N(C)c5cc(Oc6nc7ccccc7s6)ccc15	L1
Z243147672	Cc1cc(C)c(NC(=O)c2oc3ccccc3c2CSCc4ccccc4)c(C)n1	L1
Z28077264	CCc1c(C)sc2N=C(NC(=O)c12)c3ccc(cc3)C(=O)N4CCCc5cc(C)ccc45	L1
Z19714444	NC(=O)c1c2CCCCc2sc1NC(=O)COC(=O)c3ccccc3C(=O)c4ccc(Cl)cc4	L1
Z49628999	Oc1cc2ccccc2cc1C(=O)N\N=C\c3oc(cc3)c4ccc(Br)cc4	L1
Z96092404	CCOC(=O)c1c(oc2cc(C)c(NS(=O)(=O)c3ccc(C)cc3)cc12)c4ccccc4	L1
Z30928484	COc1cc2c(oc3ccccc23)cc1NC(=O)c4ccc5C(=O)N(CCc6ccccc6)C(=O)c5c4	L1
Z131082812	CC(=O)N(c1nc(\C=C(\CCC(=O)O)/c2nc3ccccc3s2)cs1)c4c(C)cccc4C	L1
Z19663708	CC(OC(=O)c1ccccc1C(=O)c2ccccc2)C(=O)Nc3ccccc3C(=O)c4ccccc4	L1
Z54608348	Cc1ccc(cc1)C(=O)c2ccccc2C(=O)OCC3=Nc4scc(c5ccccc5)c4C(=O)N3	L1
Z20320436	CC(Sc1nc2cc(ccc2n1c3ccc(F)cc3)[N+](=O)[O-])C(=O)NCc4ccc5OCOc5c4	L1
Z57024332	CCOC(=O)c1c(SC(C)C(=O)NCc2ccccc2)[nH]cc1c3ccc(Cl)cc3	L1
Z14758247	Cc1cc(C)n(n1)c2ccc(cc2)C(=O)OC(C(=O)c3c[nH]c4ccccc34)c5ccccc5	L1
Z25452136	Cc1nn(c(C)c1C(=O)OC(C(=O)c2c[nH]c3ccccc23)c4ccccc4)c5ccccc5	L1
Z45942704	CNc1ccc(\C=C/2\CCCCN3C(=O)c4c(N=C23)sc(C)c4c5ccccc5)cc1[N+](=O)[O-]	L1
Z2938150057	CCOC(=O)c1cc(CN([C@@H]2CCC[C@H](C2)NC(=O)OC(C)(C)C)C(=O)OCC3c4ccccc4c5ccccc35)on1	L1
Z56940447	CC(C)OC(=O)c1c(C)oc2c1cc(NS(=O)(=O)c3c(C)cc(C)cc3C)c4ccccc24	L1
Z57020943	C[C@H](NC(=O)c1ccccc1)C(=O)OCC(=O)Nc2cc(nn2c3ccccc3)c4cc(C)c(C)cc4C	L1
Z25238774	COC(=O)c1sc2nc(C)nc(SC(C(=O)c3c[nH]c4ccccc34)c5ccccc5)c2c1C	L1
Z119661238	CS(=O)(=O)c1ccc(cc1)c2csc(NC(=O)C(Sc3ccccc3)c4ccccc4)n2	L1
Z96092569	CCCCCOC(=O)c1c(C)oc2cc(C)c(NS(=O)(=O)c3ccc(C)cc3)cc12	L1
Z17148792	CC(C)C(=O)Nc1sc2CCCc2c1C(=O)OC(C(=O)Nc3cc(C)ccc3C)c4ccccc4	L1
Z56937198	CC(C)c1cccc(C(C)C)c1NC(=O)COC(=O)[C@H](Cc2ccccc2)NC(=O)c3occc3	L1
Z46025243	CCN(CC)c1ccc(\C=C\c2sc3cc(OC)c4ccsc4c3[n+]2CCCS(=O)(=O)O)cc1	L1
Z73337109	CN1N=C(C(=O)Nc2sc(c(C)c2C(=O)N3CCCCC3)c4ccccc4)c5ccccc5C1=O	L1
